Roky,Hrubá míra reprodukce,Naděje dožití mužů,Naděje dožití žen,Průměrná délka trvání manželství při rozvodu,Průměrný věk matek při narození 1. dítěte,Průměrný věk matek při narození dítěte,Průměrný věk mužů při prvním sňatku,Průměrný věk žen při prvním sňatku,Tabulková prvosňatečnost mužů (%),Tabulková prvosňatečnost žen (%),Úhrnná plodnost,Úhrnná rozvodovost (%),Čistá míra reprodukce
1920,1.432,47.0306280001,49.777447325,12.5714222798,,30.1662467283,,,,,2.964,5.4021434412,1.155
1921,1.467,48.8224915263,51.8279599416,11.3161666877,,29.8318665445,,,,,3.035,7.3745065179,1.185
1922,1.391,49.5876774786,52.6985217523,11.269254949,,29.7591934818,,,,,2.882,8.0576698972,1.124
1923,1.34,52.8793183006,55.8588373484,11.4511686576,,29.6483300136,,,,,2.768,6.4616876387,1.083
1924,1.259,52.6106674868,55.8399842955,11.5631104696,,29.5918693857,,,,,2.59,6.0544519949,1.018
1925,1.206,52.8536850027,56.0537490893,11.4714283956,25.2630072753,29.4199265942,,,,,2.484,5.8682055918,0.976
1926,1.16,52.6585225811,55.8563387863,10.9731119782,25.1343450872,29.2760579561,,,,,2.392,5.4930405306,0.939
1927,1.09,51.9078796612,55.1079173619,11.0141344668,25.0001462566,29.0901291623,,,,,2.237,5.5604260527,0.883
1928,1.076,52.9728576846,56.672186081,10.7465342093,24.9823261537,28.9330631002,,,,,2.209,5.4655524448,0.872
1929,1.028,52.378088011,56.1458536148,10.7465342093,24.9575481233,28.7883497917,,,,,2.124,5.4655524448,0.835
1930,1.049,53.7005955613,57.6136085044,10.7465342093,24.934015272,28.6012224927,,,,,2.149,5.4655524448,0.852
1931,0.98,54.4540176886,58.2795616844,10.7036635022,24.8538177383,28.5073444615,,,,,2.026,5.685955503,0.796
1932,0.955,54.788926875,58.3691750654,10.7036635022,24.8416991253,28.4023130788,,,,,1.966,5.685955503,0.777
1933,0.887,55.4078490617,58.7947712746,10.7036635022,24.8847494812,28.3069303515,,,,,1.826,5.685955503,0.721
1934,0.862,55.8248867145,59.6334644405,10.6679875565,24.9743127125,28.3018649349,,,,,1.774,6.5842776302,0.701
1935,0.817,55.7642824259,59.7909463144,10.6077147654,24.9781760412,28.2520394991,,,,,1.678,6.8917071994,0.664
1936,0.807,56.1681188795,59.8357334543,10.4173710456,25.0795279054,28.2287987767,,,,,1.664,8.1690686272,0.656
1937,0.819,56.4490536865,60.4067486739,10.4493095366,25.0853282759,28.160737936,,,,,1.69,7.8591091186,0.666
1938,0.8957575637,55.866225764,60.4475575284,,25.1205680967,27.933517596,,,,,1.8473244809,,0.7557872061
1939,0.9288093779,56.1536080683,60.187426147,,25.0360577654,27.7635833935,,,,,1.9162229132,,0.7826214511
1940,1.0561144002,56.3546965086,60.7681321952,,24.7362521971,27.4089329367,,,,,2.1951122314,,0.8999057316
1941,1.0967710427,56.39864327,60.4842679486,,24.8650567761,27.7067702066,,,,,2.2793749139,,0.9265241153
1942,1.1665984174,55.4400984215,59.8266279378,,25.02672798,27.9051669017,,,,,2.4223601087,,0.9715331112
1943,1.338665061,56.0990334091,59.7714844657,,25.11389408,28.0319933784,,,,,2.7849297641,,1.1086098801
1944,1.3490648897,56.6474049947,60.8210366779,,25.2292841752,28.4806929376,,,,,2.7960015477,,1.14037081
1945,1.295,50.4321848694,58.6362166501,,25.1259418104,28.6074844145,,,,,2.673,,1.18
1946,1.574,57.9273753954,63.0946241115,,24.9759001432,28.4415729723,,,,,3.254,,1.435
1947,1.476,60.2158916652,64.9954148706,,24.5696231408,28.1009373626,,,,,3.05,,1.346
1948,1.392,61.5565857255,66.1550044131,,24.2138781526,27.8110306576,,,,,2.886,,1.27
1949,1.328,61.3320089124,66.3385637559,9.1336651066,24.0747863997,27.4726318653,,,,,2.7282834154,11.2913861574,1.212
1950,1.365,62.0097610138,66.819586842,10.8125021221,23.7725855239,27.3080825994,,,,,2.8007815193,12.0814033451,1.247
1951,1.35,62.9193797104,67.7433854197,10.0122575339,23.5963472907,27.1100240318,,,,,2.7631617847,10.9431322479,1.232
1952,1.314,64.651809781,69.3113513744,9.2802879185,23.5637092708,27.0261003659,,,,,2.7015039766,12.0040021158,1.231
1953,1.268,65.4257596695,70.0192842702,8.9564994933,23.4513624087,26.9839469764,,,,,2.6108291322,10.7395926929,1.2
1954,1.253,65.7694477645,70.67452719,8.6495916887,23.3323802876,26.8606682489,,,,,2.5813773561,11.0215805496,1.197
1955,1.248,66.6515150634,71.6708559284,8.6842635603,23.2351559268,26.7292191303,,,,,2.5778241373,13.7887906066,1.197
1956,1.247,67.0540245075,72.0981951046,10.2913961535,23.0976407644,26.5116778694,,,,,2.5683647185,14.5429572133,1.199
1957,1.199,66.6896151214,71.8242162995,9.7307371415,22.9760236542,26.2785982182,,,,,2.495135997,14.5264076871,1.153
1958,1.109,67.6195353527,72.7460617136,9.6041404656,22.9943205384,25.9272428984,,,,,2.3052808628,16.0502559334,1.071
1959,1.014,67.4954137646,72.8625344635,9.6949393122,22.9039559975,25.4868166761,,,,,2.1216795416,15.8944524442,0.982
1960,1.012,67.9554302547,73.4780617338,9.8008765131,22.86377592,25.4199870768,,,,,2.1135583132,15.843243318,0.982
1961,1.027,67.6526226132,73.5897483717,9.8191267912,22.88992596,25.4257572256,24.5473520364,21.4351166284,95.8022011886,97.6402843548,2.1328366865,17.2288559927,0.997
1962,1.032,66.9021346562,72.9131325526,9.8524350454,22.80437785,25.3202250365,24.3248492306,21.3594908426,95.9671670009,97.5122260717,2.1404483469,17.6397711085,1.001
1963,1.125,67.317931182,73.5358906775,9.6882922649,22.73706311,25.4455816587,24.1796083816,21.3421709693,96.038706734,97.3777538313,2.332624738,18.4781361938,1.092
1964,1.133,67.5106037342,73.7084515419,9.9830466036,22.71762051,25.5761365641,24.2652812046,21.5349901621,95.6822433134,97.1114004228,2.3566602972,18.0747842131,1.101
1965,1.056,67.1588036203,73.4586450619,9.896270512,22.67338427,25.5514001087,24.3310162196,21.7000063927,95.2158410061,96.4237363894,2.1785351866,20.2655010087,1.022
1966,0.982,67.2598841184,73.8240351461,9.8044097945,22.55427047,25.3624264584,24.2983735653,21.7352340936,95.0512493292,95.9144364423,2.0082193525,21.747851583,0.953
1967,0.926,67.1349376154,73.7436186951,9.7066012258,22.47943874,25.1563777676,24.3028161888,21.7922831519,94.9464160821,95.8969964451,1.8970936092,21.6183177476,0.899
1968,0.895,66.5761395276,73.4759572143,9.6850557866,22.5190862,25.0670781814,24.3255074232,21.7365094816,94.4640365462,95.5968865519,1.8275153301,23.0283468685,0.869
1969,0.908,65.9553908971,73.1444839862,9.6746426501,22.45455181,25.0191321321,24.3694243362,21.7182243325,93.6496925465,95.3195145178,1.8592523109,25.1830378588,0.88
1970,0.941,66.0633099033,73.026896588,9.8430781085,22.45362027,24.9701857361,24.41,21.7,93.78,95.85,1.9127147541,26.1491560983,0.914
1971,0.971,66.1688753707,73.3929253642,9.9404428339,22.58636257,25.1166931086,24.4441814889,21.6466583817,94.135871695,96.4971515951,1.9784952047,28.4737786141,0.944
1972,1.018,66.8434516585,73.7065510626,10.1656585474,22.61461644,25.1356682249,24.4142137099,21.5639165777,94.7117806754,97.076660117,2.0744320856,26.8898216224,0.989
1973,1.118,66.5408010452,73.6944496179,10.2705661685,22.6244743,25.2569624752,24.3322694225,21.4519494753,94.990334347,97.5313768716,2.2868089135,29.9130755493,1.088
1974,1.197,66.7744914945,73.6100140957,10.0754071858,22.59303265,25.2380834677,24.3750897818,21.4471402848,94.78548856,97.5945452972,2.4316074123,29.1047184475,1.165
1975,1.188,67.0390459537,74.0468736808,10.2744549503,22.51324571,25.1275112185,24.3639100325,21.417326212,94.3222399294,97.6837344506,2.4019934115,30.0992563014,1.158
1976,1.164,67.0844096686,74.2405519252,10.3367565166,22.48827338,25.0720280993,24.4414269463,21.4199605008,93.766576907,97.7493731846,2.3621097893,29.1230905108,1.136
1977,1.139,67.1564855619,74.2561465618,10.3308868714,22.46907247,24.9804351042,24.5367666174,21.3968469099,93.3635833416,97.8430766288,2.3196625406,28.7700483967,1.112
1978,1.132,67.2433820412,74.3215674202,10.337196266,22.43790348,24.9193201464,24.6175998529,21.3838625969,92.9628306029,98.0287285571,2.3246411217,30.5685795166,1.106
1979,1.106,67.3982917152,74.4085813055,10.2635574568,22.40029492,24.8388824361,24.7745111783,21.461349786,91.684756075,97.7164654146,2.2863633203,29.4367460647,1.082
1980,1.002,66.8844391098,73.9806665493,10.1007458319,22.3575794,24.672148402,24.9377904723,21.654353305,89.6881354755,96.8853249825,2.0964112681,30.6716496889,0.98
1981,0.972,67.2104629129,74.4060517441,10.0642951297,22.37906402,24.6947173452,24.8085707676,21.6598575448,89.2133764278,96.2758394176,2.0162515914,31.3997073145,0.951
1982,0.976,67.3370982496,74.4886115544,9.9616542128,22.36208976,24.6405370043,24.7107653528,21.7226401287,88.9879962608,95.7202992473,2.0076063021,31.8850663919,0.956
1983,0.955,67.0561628984,74.3190892305,10.225323187,22.31368248,24.587988832,24.5155277953,21.6771823022,89.8297192394,96.078227343,1.9629674626,33.9656038068,0.936
1984,0.958,67.349536708,74.5168831986,10.246412533,22.31326884,24.5537313324,24.4878782545,21.6547968654,90.1885382677,95.9924581847,1.9663183845,35.6044619135,0.94
1985,0.951,67.5086732813,74.785049091,10.3115089031,22.34693962,24.5846010292,24.5392570528,21.7555180082,89.6872577972,95.9378865089,1.9620373237,35.7330911929,0.932
1986,0.9408772903,67.4965165892,74.6881097848,10.3668120529,22.3968406601,24.6396266966,24.5832926989,21.7380399614,89.4843975123,95.8473923769,1.9358016107,34.7731799802,0.9244690248
1987,0.9276501152,67.8838554973,75.2088300003,10.2914579834,22.4364465717,24.6706910706,24.5423033795,21.6930096717,90.1391765575,96.0400415995,1.909819216,36.6020009026,0.9119013963
1988,0.948208596,68.1269376486,75.3699136746,10.3234837192,22.4379615911,24.7202342933,24.5380683361,21.7440262118,89.3000834248,95.57108287,1.940263814,36.235399254,0.9321495821
1989,0.9152147362,68.1393371006,75.4629650588,10.3270820059,22.480817546,24.7531671502,24.58,21.83,89.17,95.3,1.8736475361,37.1463756503,0.9019773286
1990,0.9222756334,67.5700799894,75.4286970604,10.1337057919,22.4686466457,24.7636354991,23.96,21.43,91.06,96.18,1.8932124982,37.9822593027,0.9072350312
1991,0.9020756535,68.2333679175,75.75431687,10.0943249596,22.4293500752,24.7254357149,24.6893996381,22.313416363,84.4020001813,91.2291122046,1.860947179,34.7532514555,0.8873781275
1992,0.831708457,68.5439215368,76.2163906874,10.1907037333,22.5068623476,24.8274373114,24.823641682,22.56408381,85.4102145866,91.5303967208,1.7147855671,33.911044277,0.818702227
1993,0.8112262595,69.2776824308,76.4591109565,10.2510606679,22.6068459455,25.0387301297,25.380609185,23.2283077446,81.4237107174,87.694968479,1.6656434022,36.1801669579,0.7998204802
1994,0.700033395,69.5226380962,76.6704794245,10.4558742201,22.9166934659,25.3687737127,26.1492036537,23.9298149143,76.4230299318,82.559832701,1.4383068517,37.5109376362,0.690234355
1995,0.6206374311,69.7074367658,76.6874955815,10.4677052492,23.321813037,25.7581842498,26.6843147313,24.5856840371,73.2044955125,79.9401324222,1.2777367414,38.4475710038,0.6121122201
1996,0.5768336523,70.351494331,77.3641868025,10.6422171352,23.6760147692,26.0857161303,27.1184370236,24.8836949242,71.3619768031,77.1015089392,1.185253952,41.8274836683,0.5698169646
1997,0.5700111981,70.4873288516,77.4760124689,10.7009359081,24.0369306273,26.3642960744,27.6481632572,25.4320162442,73.1153320697,78.6569390614,1.1726206667,42.1440112172,0.5630942103
1998,0.5616281606,71.1143054026,78.0252254942,10.7894577315,24.3510829793,26.623397107,28.113489859,25.7680574147,70.7860648946,75.7448370388,1.1565974269,43.0718492811,0.555509224
1999,0.5523457429,71.4022227178,78.1370972527,10.7735384631,24.5931193378,26.8580119949,28.524063354,26.2342709406,68.7761860353,74.1436137038,1.132838167,32.4772983481,0.546562874
2000,0.5514818949,71.6265464972,78.3898206659,11.0145058913,24.9416813011,27.1766367213,28.8560188745,26.4653463207,69.4530629037,74.4192449226,1.143633471,41.3880733306,0.5458635817
2001,0.5572442756,72.0261848818,78.5149246523,11.2624436548,25.3448110244,27.5492894963,29.2877518713,26.8918369527,66.0301564757,72.5163064357,1.145721873,44.6790264371,0.5518278417
2002,0.5685394692,72.0772014499,78.6968520681,11.5073683465,25.6278000579,27.8098599527,29.7199771116,27.2720194708,66.1518984859,72.4167204338,1.170676595,45.7462846308,0.5627453725
2003,0.5735390233,72.062250972,78.6429714726,11.7586049456,25.9258260351,28.0547379307,30.2599622637,27.7465232208,62.5499786621,68.6697196874,1.178684722,48.0103250019,0.5681485526
2004,0.5954943707,72.5638938613,79.2042151889,11.8723686794,26.3122668373,28.3325946671,30.5057686487,27.9886336296,63.591863885,69.809050162,1.226441722,49.2855547444,0.5901093154
2005,0.6237233597,72.9100238422,79.3439895802,12.1540419549,26.6107010273,28.6060646505,30.754581237,28.129393185,62.8302921308,69.1476024966,1.281538461,47.3397479021,0.6180900332
2006,0.6429612407,73.4414269844,79.8501110076,12.0377473841,26.9426934031,28.879555591,31.0063044999,28.4424989896,62.9123141138,69.7135575073,1.327947839,48.6882243262,0.6379548814
2007,0.7043772641,73.6689831281,80.0554464978,12.2561319245,27.1405745175,29.1398919126,31.1673197784,28.5615001513,64.4752860519,71.1124590249,1.437943046,48.7475110579,0.6988730566
2008,0.7296678488,74.0211756026,80.2943482573,12.3362370238,27.3317951121,29.3311881671,31.4487671476,28.771296222,59.5717137587,66.086165028,1.497028298,49.629547639,0.7239572663
2009,0.7314480905,74.1738106018,80.3025748223,12.4645422001,27.4442635725,29.4275199095,31.9583760748,29.2058081446,56.0544874523,62.7364831751,1.492261105,46.7639096058,0.7253171794
2010,0.7256487733,74.3985739607,80.631133236,12.6992391968,27.6245938818,29.5869352383,32.178083315,29.4103919254,54.9114826995,61.6119323945,1.49318365,49.9629433221,0.7198830514
2011,0.6939413823,74.7098524846,80.8332229218,12.9400346345,27.7847681341,29.6941955095,32.1819674716,29.5753383805,53.5166263719,61.0207026255,1.426534852,46.2329937939,0.6885327738
2012,0.7089997572,74.9582726458,80.9939649002,12.8339834567,27.9169571314,29.7608945851,32.2510191723,29.5802041136,53.2320636254,60.6140504324,1.452046855,44.4922698555,0.7036617102
2013,0.7101892606,75.1531452448,81.1573956667,12.9671074573,28.0827601215,29.8620461861,32.3069121943,29.8196409821,51.4170764134,59.0110832136,1.456018401,47.8401875847,0.705232241
2014,0.7432302754,75.7075451827,81.7288420906,13.0596391068,28.1365657078,29.9388546244,32.3063046663,29.8444657985,53.0865048817,60.7757429096,1.527567307,46.7249768282,0.7381172465
2015,0.7644962381,75.6148426981,81.4535557999,13.0154180908,28.2235585821,29.9923102727,32.3554647842,29.8307694522,55.0984358813,62.3570035995,1.570023378,46.5236925465,0.7590696779
2016,0.7935857509,76.044936268,81.8260870838,13.1060055292,28.2117645871,29.9860915647,32.1952134775,29.8728209081,56.2214066606,64.2975599944,1.629999335,45.2394423961,0.7874233715
2017,0.8220361539,76.0048893891,81.8451273946,13.2057017717,28.2362055431,30.0231637887,32.211953703,29.7945726633,57.5867826834,65.4451049142,1.686674769,47.1552675601,0.8163111077
2018,0.83533466,76.0839391341,81.891750582,13.4015266399,28.361857579,30.1101562421,32.1700145607,29.7730903658,58.7814786414,66.8714349487,1.708412422,44.8214830026,0.8291016889
2019,0.8323069818,76.3289995826,82.1014818384,13.4869169746,28.4614541744,30.1544962688,32.1494345051,29.8116373277,59.0343735474,67.5477609552,1.708963053,44.803765552,0.8258920518
2020,0.8350173061,75.3035998674,81.3768895567,13.7050412615,28.5063154185,30.1932449315,32.6234399325,30.4084341307,51.8781785659,60.8137275487,1.707372719,40.5557756884,0.829501663
2021,0.8927527551,74.0931411952,80.5085140627,13.6007371736,28.8076464053,30.4234234875,32.5634665558,30.2836832658,54.4287689298,63.7135543838,1.826535974,39.7489128662,0.8862207793
2022,0.7870346291,76.1483805299,82.0142787872,13.5364918094,28.8460747817,30.432491855,32.5289094327,30.2977912017,60.3670108351,70.2199671678,1.617746603,37.7002493758,0.780965358
2023,0.705758948,76.89409283,82.78054922,13.52659166,28.90541978,30.42951703,32.74563996,30.64783801,55.6130961,65.18807962,1.452571879,37.12532911,0.700636213
